scenario,phase,timeout_like_count
S1,P1,0
S1,P2,0
S1,P3,0
S2,P1,0
S2,P2,0
S2,P3,0
S3,P1,0
S3,P2,0
S3,P3,0
S4,P1,0
S4,P2,0
S4,P3,0
